site,date_time.x,tag_no,bag_no,gps_id,collected_by,basket_no,date_CBASS,date_time_min,time,lat,lon,date_time.y
mahana,2022-12-03T21:58:00Z,1,1,Shedd1,RC/SM,1,20221204,12/3/2022 11:58,2022-12-03T21:58:51Z,-17.48999373,-149.8865162,2022-12-03T21:58:51Z
mahana,2022-12-03T22:11:00Z,2,2,Shedd1,RC/SM,2,20221204,12/3/2022 12:11,2022-12-03T22:11:49Z,-17.48979256,-149.8865019,2022-12-03T22:11:49Z
mahana,2022-12-03T22:20:00Z,3,3,Shedd1,RC/SM,3,20221204,12/3/2022 12:20,2022-12-03T22:20:57Z,-17.48918898,-149.886596,2022-12-03T22:20:57Z
mahana,2022-12-03T22:28:00Z,4,4,Shedd1,RC/SM,4,20221204,12/3/2022 12:28,2022-12-03T22:28:57Z,-17.48888581,-149.8866072,2022-12-03T22:28:57Z
mahana,2022-12-03T22:38:00Z,5,5,Shedd1,RC/SM,5,20221204,12/3/2022 12:38,2022-12-03T22:38:59Z,-17.4885279,-149.8865325,2022-12-03T22:38:59Z
mahana,2022-12-03T22:49:00Z,6,6,Shedd1,RC/SM,6,20221204,12/3/2022 12:49,2022-12-03T22:49:46Z,-17.48815164,-149.8865963,2022-12-03T22:49:46Z
mahana,2022-12-03T22:56:00Z,7,7,Shedd1,RC/SM,7,20221204,12/3/2022 12:56,2022-12-03T22:56:55Z,-17.48800546,-149.8866322,2022-12-03T22:56:55Z
mahana,2022-12-03T23:03:00Z,8,8,Shedd1,RC/SM,8,20221204,12/3/2022 13:03,2022-12-03T23:03:50Z,-17.48778719,-149.8865768,2022-12-03T23:03:50Z
mahana,2022-12-03T23:10:00Z,9,9,Shedd1,RC/SM,9,20221204,12/3/2022 13:10,2022-12-03T23:10:46Z,-17.48776188,-149.8863859,2022-12-03T23:10:46Z
mahana,2022-12-03T23:19:00Z,10,10,Shedd1,RC/SM,10,20221204,12/3/2022 13:19,2022-12-03T23:19:59Z,-17.48763498,-149.8863602,2022-12-03T23:19:59Z
mahana,2022-12-03T22:02:00Z,11,11,Shedd3,HP/PH,11,20221204,12/3/2022 12:02,2022-12-03T22:02:50Z,-17.48994553,-149.8865713,2022-12-03T22:02:50Z
mahana,2022-12-03T22:13:00Z,12,12,Shedd3,HP/PH,12,20221204,12/3/2022 12:13,2022-12-03T22:13:49Z,-17.48964865,-149.8863856,2022-12-03T22:13:49Z
mahana,2022-12-03T22:22:00Z,13,13,Shedd3,HP/PH,13,20221204,12/3/2022 12:22,2022-12-03T22:22:38Z,-17.48901229,-149.8864511,2022-12-03T22:22:38Z
mahana,2022-12-03T22:30:00Z,14,14,Shedd3,HP/PH,14,20221204,12/3/2022 12:30,2022-12-03T22:30:15Z,-17.48893778,-149.8863104,2022-12-03T22:30:15Z
mahana,2022-12-03T22:36:00Z,15,15,Shedd3,HP/PH,15,20221204,12/3/2022 12:36,2022-12-03T22:36:48Z,-17.4887398,-149.8861136,2022-12-03T22:36:48Z
mahana,2022-12-03T22:43:00Z,16,16,Shedd3,HP/PH,16,20221204,12/3/2022 12:43,2022-12-03T22:43:57Z,-17.48863519,-149.8860851,2022-12-03T22:43:57Z
mahana,2022-12-03T22:49:00Z,17,17,Shedd3,HP/PH,17,20221204,12/3/2022 12:49,NA,NA,NA,NA
mahana,2022-12-03T22:54:00Z,18,18,Shedd3,HP/PH,18,20221204,12/3/2022 12:54,2022-12-03T22:54:17Z,-17.48853536,-149.8860868,2022-12-03T22:54:17Z
mahana,2022-12-03T23:02:00Z,19,19,Shedd3,HP/PH,19,20221204,12/3/2022 13:02,NA,NA,NA,NA
mahana,2022-12-03T23:12:00Z,20,20,Shedd3,HP/PH,20,20221204,12/3/2022 13:12,2022-12-03T23:12:27Z,-17.4878949,-149.8861838,2022-12-03T23:12:27Z
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
