"2022-06-17";"22:39:43";"WinControl (rev 1142) report file"
"Datetime";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2022-06-17 19:24:15.998";"0";"2022-06-17";"19:24:15";"C";"";"MI=1;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=8;D=2;EF=0.84;FO=44;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:24:15.999";"1";"2022-06-17";"19:24:15";"SCHS";"";"Chart start ";""
"2022-06-17 19:24:16.000";"2";"2022-06-17";"19:24:16";"F";"2";"0";"0";"0";"-";"-"
"2022-06-17 19:26:56.998";"161000";"2022-06-17";"19:26:56";"C";"";"MI=1;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=8;D=2;EF=0.84;FO=5;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:26:57.000";"161002";"2022-06-17";"19:26:57";"F";"4";"2";"9";"0";"-";"-"
"2022-06-17 19:27:16.000";"180002";"2022-06-17";"19:27:16";"F";"5";"4";"10";"0";"-";"-"
"2022-06-17 19:34:46.998";"631000";"2022-06-17";"19:34:46";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=8;D=2;EF=0.84;FO=66;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:34:47.000";"631002";"2022-06-17";"19:34:47";"F";"7";"0";"6";"0";"-";"-"
"2022-06-17 19:34:52.000";"636002";"2022-06-17";"19:34:52";"F";"8";"0";"10";"0";"-";"-"
"2022-06-17 19:34:59.000";"643002";"2022-06-17";"19:34:59";"F";"9";"346";"409";"0";"0.154";"0.0"
"2022-06-17 19:35:04.000";"648002";"2022-06-17";"19:35:04";"F";"10";"365";"422";"0";"0.135";"0.0"
"2022-06-17 19:35:10.000";"654002";"2022-06-17";"19:35:10";"F";"11";"7";"15";"0";"-";"-"
"2022-06-17 19:35:18.000";"662002";"2022-06-17";"19:35:18";"F";"12";"40";"49";"0";"-";"-"
"2022-06-17 19:35:32.000";"676002";"2022-06-17";"19:35:32";"F";"13";"130";"165";"0";"0.212";"0.0"
"2022-06-17 19:35:48.000";"692002";"2022-06-17";"19:35:48";"F";"14";"129";"164";"0";"0.213";"0.0"
"2022-06-17 19:36:04.000";"708002";"2022-06-17";"19:36:04";"F";"15";"28";"35";"0";"-";"-"
"2022-06-17 19:36:15.000";"719002";"2022-06-17";"19:36:15";"F";"16";"55";"59";"0";"0.068";"0.0"
"2022-06-17 19:43:16.998";"1141000";"2022-06-17";"19:43:16";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=6;D=2;EF=0.84;FO=66;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:43:17.000";"1141002";"2022-06-17";"19:43:17";"F";"18";"0";"0";"0";"-";"-"
"2022-06-17 19:43:45.998";"1170000";"2022-06-17";"19:43:45";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=6;D=2;EF=0.84;FO=47;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:43:46.000";"1170002";"2022-06-17";"19:43:46";"F";"20";"1";"9";"0";"-";"-"
"2022-06-17 19:43:52.000";"1176002";"2022-06-17";"19:43:52";"F";"21";"1";"9";"0";"-";"-"
"2022-06-17 19:43:54.000";"1178002";"2022-06-17";"19:43:54";"F";"22";"2";"10";"0";"-";"-"
"2022-06-17 19:43:57.000";"1181002";"2022-06-17";"19:43:57";"F";"23";"5";"9";"0";"-";"-"
"2022-06-17 19:44:00.000";"1184002";"2022-06-17";"19:44:00";"F";"24";"3";"9";"0";"-";"-"
"2022-06-17 19:44:44.000";"1228002";"2022-06-17";"19:44:44";"F";"25";"34";"41";"0";"-";"-"
"2022-06-17 19:45:46.998";"1291000";"2022-06-17";"19:45:46";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=8;D=2;EF=0.84;FO=47;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:45:47.000";"1291002";"2022-06-17";"19:45:47";"F";"27";"14";"28";"0";"-";"-"
"2022-06-17 19:45:53.000";"1297002";"2022-06-17";"19:45:53";"F";"28";"23";"25";"0";"-";"-"
"2022-06-17 19:45:55.000";"1299002";"2022-06-17";"19:45:55";"F";"29";"20";"25";"0";"-";"-"
"2022-06-17 19:46:14.000";"1318002";"2022-06-17";"19:46:14";"F";"30";"66";"77";"0";"0.143";"0.0"
"2022-06-17 19:46:38.998";"1343000";"2022-06-17";"19:46:38";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=8;D=2;EF=0.84;FO=61;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:46:39.000";"1343002";"2022-06-17";"19:46:39";"F";"32";"51";"62";"0";"0.177";"0.0"
"2022-06-17 19:46:46.000";"1350002";"2022-06-17";"19:46:46";"F";"33";"35";"46";"0";"-";"-"
"2022-06-17 19:46:53.000";"1357002";"2022-06-17";"19:46:53";"F";"34";"79";"99";"0";"0.202";"0.0"
"2022-06-17 19:47:05.000";"1369002";"2022-06-17";"19:47:05";"F";"35";"34";"45";"0";"-";"-"
"2022-06-17 19:47:16.000";"1380002";"2022-06-17";"19:47:16";"F";"36";"64";"80";"0";"0.200";"0.0"
"2022-06-17 19:47:21.000";"1385002";"2022-06-17";"19:47:21";"F";"37";"28";"40";"0";"-";"-"
"2022-06-17 19:47:27.000";"1391002";"2022-06-17";"19:47:27";"F";"38";"15";"21";"0";"-";"-"
"2022-06-17 19:47:32.000";"1396002";"2022-06-17";"19:47:32";"F";"39";"41";"54";"0";"0.241";"0.0"
"2022-06-17 19:47:39.000";"1403002";"2022-06-17";"19:47:39";"F";"40";"296";"349";"0";"0.152";"0.0"
"2022-06-17 19:47:48.000";"1412002";"2022-06-17";"19:47:48";"F";"41";"106";"141";"0";"0.248";"0.0"
"2022-06-17 19:47:59.000";"1423002";"2022-06-17";"19:47:59";"F";"42";"131";"160";"0";"0.181";"0.0"
"2022-06-17 19:48:04.000";"1428002";"2022-06-17";"19:48:04";"F";"43";"145";"175";"0";"0.171";"0.0"
"2022-06-17 19:48:15.000";"1439002";"2022-06-17";"19:48:15";"F";"44";"5";"15";"0";"-";"-"
"2022-06-17 19:48:48.000";"1472002";"2022-06-17";"19:48:48";"F";"45";"55";"67";"0";"0.179";"0.0"
"2022-06-17 19:48:54.000";"1478002";"2022-06-17";"19:48:54";"F";"46";"98";"119";"0";"0.176";"0.0"
"2022-06-17 19:49:01.000";"1485002";"2022-06-17";"19:49:01";"F";"47";"22";"35";"0";"-";"-"
"2022-06-17 19:49:08.000";"1492002";"2022-06-17";"19:49:08";"F";"48";"109";"128";"0";"0.148";"0.0"
"2022-06-17 19:49:15.000";"1499002";"2022-06-17";"19:49:15";"F";"49";"84";"100";"0";"0.160";"0.0"
"2022-06-17 19:49:22.000";"1506002";"2022-06-17";"19:49:22";"F";"50";"171";"174";"0";"0.017";"0.0"
"2022-06-17 19:49:29.000";"1513002";"2022-06-17";"19:49:29";"F";"51";"50";"59";"0";"0.153";"0.0"
"2022-06-17 19:49:36.000";"1520002";"2022-06-17";"19:49:36";"F";"52";"102";"110";"0";"0.073";"0.0"
