Date,cbassRun,Picture,Tank,rackColor,Notes
6/17/22,5,1,37,Double Orange,
6/17/22,5,2,37,Pink,
6/17/22,5,3,37,Double Pink,
6/17/22,5,4,37,Orange,
6/17/22,5,5,36,Pink,
6/17/22,5,6,36,Double Pink,
6/17/22,5,7,36,Orange,
6/17/22,5,8,36,Double Orange,
6/17/22,5,9,35,Pink,
6/17/22,5,10,35,Double Pink,Position 6 dots of TL
6/17/22,5,11,35,Orange,
6/17/22,5,12,35,Double Orange,"Position 2, 6 partial TL"
6/17/22,5,13,34.5,Pink,
6/17/22,5,14,34.5,Double Pink,
6/17/22,5,15,34.5,Orange,
6/17/22,5,16,34.5,Double Orange,5 pieces
6/17/22,5,17,34,Pink,
6/17/22,5,18,34,Double Pink,
6/17/22,5,19,34,Orange,
6/17/22,5,20,34,Double Orange,Major TL postion 5
6/17/22,5,21,33,Pink,
6/17/22,5,22,33,Double Pink,
6/17/22,5,23,33,Orange,
6/17/22,5,24,33,Double Orange,
6/17/22,5,25,32,Pink,
6/17/22,5,26,32,Double Pink,"Partial TL postion 5, total tl position 6"
6/17/22,5,27,32,Orange,
6/17/22,5,28,32,Double Orange,TL position 2
6/17/22,5,29,30,Pink,
6/17/22,5,30,30,Double Pink,
6/17/22,5,31,30,Orange,Partial TL position 2 and 7
6/17/22,5,32,30,Double Orange,
6/17/22,5,Org-Shayle,All,Orange,Shayle mosaic 30-36 Acer high light
6/17/22,5,2xOrgShayle,All,Double Orange,Shayle mosaic 30-36 Acer low light
6/17/22,5,PinkApal,All,Pink,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
