nursery,name,geno,ed50,std.error
CRF,CRF098,ML56,36.47735873374049,0.15907272054667773
CRF,CRF008,K2,36.64797314471833,0.29698327760316123
CRF,CRF053,U43,35.95664107664802,0.1362852899750023
CRF,CRF039,U31,35.55725965523991,0.0814454497206713
CRF,CRF118,KW15,35.91697183999014,0.06645803198674513
CRF,CRF019,U8,35.85018108264385,0.2404384141390019
CRF,CRF033,M1,35.59068492745888,0.3943802852153019
CRF,CRF076,U70,36.12140199634159,0.4994887737640213
CRF,CRF087,U60,36.26182546922255,0.21266225377432094
CRF,CRF043,U37,36.97891962291291,0.32686753852343914
CRF,CRF108,U94,36.11671630108779,0.21364699640675516
CRF,CRF040,U32,35.698847602371664,0.22823054621800035
CRF,CRF051,U41,35.536799854436424,0.1756806759277935
CRF,CRF095,U72,35.74893728654863,0.31936305016982963
CRF,CRF032,CM6,36.318940902460575,0.24059228044974018
CRF,CRF113,U100,36.219574721145904,0.24402929612315208
CRF,CRF112,U98,35.93627748005904,0.33574163955031494
CRF,CRF029,M2,35.65486752693422,0.4808839067353297
CRF,CRF085,U58,35.89424016519815,0.16033069619810833
CRF,CRF094,U71,35.84814250341494,0.34099067600159544
CRF,CRF121,U106,36.05432749511583,0.22339125535938895
CRF,CRF024,CB024,35.85876538357425,0.4812305312542111
CRF,CRF069,U46,35.61276600984889,0.08655624774771556
CRF,CRF052,U42,35.05273772988697,0.11309482411471156
CRF,CRF023,B9,36.10891637995592,0.10347031216168497
CRF,CRF048,U39,36.78433639740576,0.3651195861645049
CRF,CRF102,U75,35.94342317204997,0.15286980529442173
CRF,CRF086,U59,36.16220130312159,0.1340748299176858
CRF,CRF059,U15,37.6174860991923,0.2614609598385477
CRF,CRF047,M10,36.35637427560973,0.22778279497543538
CRF,CRF055,U3,36.37181784696501,0.2085133370078534
CRF,CRF119,KW16,35.86538352572485,0.10120966171875047
CRF,CRF031,CM5,35.60029952262754,0.22114939218827276
CRF,CRF068,U45,36.45043697035605,0.26308798250991733
CRF,CRF066,U44,35.85250670782344,0.20923808803297617
CRF,CRF082,U54,35.71093231435336,0.09733237584813215
CRF,CRF020,U19,36.24334198644531,0.2508206798293754
CRF,CRF099,ML57,35.47774031063834,0.09423508043919641
CRF,CRF007,K1,35.63151680412283,0.12002268369167116
CRF,CRF028,ML7,36.333507936212904,0.153435899335172
CRF,CRF042,U35,36.833383492617074,0.37770367644320574
CRF,CRF010,U4,35.96979073455843,0.2397219458241973
CRF,CRF074,KW5,36.48005664736504,0.2603954071869452
CRF,CRF013,U11,36.321177339004095,0.15708133034579613
FWC,FM19,FM19,35.2130146004597,0.15407100584936087
FWC,CM6,CM6,35.166872320567876,0.1853176570490253
FWC,CB024,CB024,35.27165234686492,0.15591336724176355
FWC,ML5,ML5,35.63220458292183,0.15863642788711046
FWC,ML1,ML1,35.573434076378184,0.3425197692737399
FWC,FM12,FM12,35.52917183369757,0.19217748116196678
FWC,TDT1,TDT2,35.45909013574753,0.21806134635387076
FWC,FM9,FM9,35.6152546601407,0.33415347364412457
FWC,FM13,FM13,35.43375769365157,0.3048871540437671
FWC,FM20,FM20,35.77638428054338,0.25249995055224606
FWC,CM5,CM5,35.43618970284248,0.2037645836195104
FWC,ML7,ML7,35.589123784927004,0.1739932297203761
FWC,ML50,ML50,35.46910500779489,0.7356833471847851
FWC,ML3,ML3,35.522444884499315,0.22047489432432124
FWC,TDT2,TDT2,35.60096046881506,0.12289586819997472
FWC,ML31,ML31,35.493070084126764,0.3161806740250504
FWC,ML57,ML57,35.37322874625999,0.21390666576913864
FWC,ML75,ML75,35.851304066319145,0.1377184982232462
FWC,ML63,ML63,35.47635809794218,0.435223902901473
FWC,ML34,ML34,35.900916425082016,0.37299702747883556
FWC,CU007,K1,35.40103590796043,0.34651544134939255
FWC,FM5,FM5,35.65801658153376,0.18549906003647906
FWC,ML41,ML41,35.58539801058484,0.15409866624055887
FWC,FM14,FM9,35.05799282988538,0.2227420734809989
FWC,FM6,FM6,35.78753243561454,0.3120367859294865
NSU,kjs6,kjs6,35.96520708073031,0.07698859586193611
NSU,kjs9,kjs9,35.6280814032854,0.20949707537742487
NSU,kjs17,kjs17,35.70874467394306,0.09558292329517254
NSU,kjs20,kjs20,35.83075662644778,0.06312700422981218
NSU,kjs29,kjs29,35.714675606435556,0.0952457465345809
NSU,kjs25,kjs25,36.332854465870696,0.12868045749146928
NSU,kjs53?,kjs53,35.72824580058649,0.21966916508837916
NSU,kjs53,kjs53,36.22970716515713,0.29151309963049377
NSU,kjs57,kjs57,36.79991819521138,0.15876066359219246
NSU,kjs56,kjs56,36.832855564144175,0.2265329953415101
NSU,kjs70,kjs70,36.28846655231327,0.13017874190828957
NSU,kjs74,kjs74,36.0106364688295,0.18378302906181657
NSU,kjs76,kjs76,35.607533870358104,0.1034682145452527
NSU,kjs75,kjs75,36.08013074048307,0.14408929808438173
NSU,kjs93,kjs93,35.66221970991511,0.18899480940708238
NSU,kjs87,kjs87,36.16007456819311,0.20101775305813474
NSU,kjs5,kjs5,36.39387997455502,0.12985214656244143
NSU,kjs16,kjs16,35.89965112928285,0.18955280201509495
NSU,kjs3,kjs3,36.420560310901124,0.24884535429501675
NSU,kjs2,kjs2,35.62889458390592,0.12361217389530323
NSU,kjs11,kjs11,36.86339972397016,0.24685500871271687
NSU,kjs38,kjs38,35.71363590906898,0.0874522826937799
NSU,kjs40,kjs40,36.06529844105499,0.03582673198372441
NSU,kjs47,kjs47,35.920168966623535,0.11655220064807385
NSU,kjs54,kjs54,36.049982834518644,0.20596651968631446
NSU,kjs55,kjs55,36.323135311463346,0.14753339626488363
NSU,kjs58,kjs58,36.200337236405744,0.09630710363641132
NSU,kjs59,kjs59,35.75687475922355,0.2019095163390991
NSU,kjs61,kjs61,35.874527936529546,0.17329550684376574
